stencil type,nx,ny,nz,Elapsed Time,Validation
laplacian_numba,10,10,10,2.3126602172851562e-05,-
laplacian_numba,10,10,10,1.7881393432617188e-05,True
laplacian,10,10,10,2.9087066650390625e-05,True
laplacian_numba,10,10,10,1.9073486328125e-05,True
laplacian_numba,10,10,10,1.7881393432617188e-05,True
laplacian_numba,10,10,10,1.811981201171875e-05,True
laplacian_numba,10,10,10,1.9073486328125e-05,True
laplacian,10,10,10,2.8848648071289062e-05,True
laplacian,10,10,10,3.0994415283203125e-05,True
laplacian,10,10,10,3.0994415283203125e-05,True
